"###1-Users-VPN-SSL(SSL - Dialup IPsec)###"
"ID","User","VPN Type","Last Connected","Bytes","# of Connections","Duration"
" 1 ","M.POUDEVIGNE","ssl-tunnel","2025-02-14 20:37:31","906.84 MB","3 ","10:30:59"
" 2 ","MILAST03","ssl-tunnel","2025-03-30 21:28:48","560.21 MB","5 ","03:11:10"
" 3 ","V.SABY","ssl-tunnel","2025-04-22 09:05:18","11.03 GB","43 ","153:07:58"
" 4 ","a-l.bouirat","ssl-tunnel","2025-05-06 16:14:26","12.80 GB","42 ","266:23:20"
" 5 ","a.allain","ssl-tunnel","2025-05-11 15:14:43","2.15 GB","33 ","24:59:48"
" 6 ","a.aunave","ssl-tunnel","2025-05-07 19:18:32","45.71 GB","54 ","235:00:27"
" 7 ","a.benhadid","ssl-tunnel","2025-05-10 18:40:32","9.79 GB","10 ","07:19:51"
" 8 ","a.benoit","ssl-tunnel","2025-05-04 17:52:48","990.79 MB","30 ","30:33:44"
" 9 ","a.bertuit","ssl-tunnel","2025-05-07 16:03:52","14.71 GB","51 ","212:54:50"
" 10 ","a.bou","ssl-tunnel","2025-04-30 12:13:28","1.01 GB","21 ","27:43:25"
" 11 ","a.boulanger","ssl-tunnel","2025-04-07 17:59:57","1.65 GB","14 ","08:29:08"
" 12 ","a.bourgeois","ssl-tunnel","2025-05-09 17:36:20","18.16 GB","57 ","122:20:23"
" 13 ","a.bureau","ssl-tunnel","2025-05-07 12:30:36","9.69 GB","27 ","176:06:34"
" 14 ","a.cachot","ssl-tunnel","2025-05-10 16:57:23","212.69 MB","1 ","08:59:59"
" 15 ","a.catarina","ssl-tunnel","2025-05-09 16:11:49","15.90 GB","102 ","194:32:34"
" 16 ","a.charrin","ssl-tunnel","2025-05-09 16:02:47","20.44 GB","78 ","221:16:41"
" 17 ","a.chibani","ssl-tunnel","2025-05-11 22:54:35","1.19 GB","104 ","10:17:05"
" 18 ","a.conda","ssl-tunnel","2025-04-25 09:23:49","13.10 MB","5 ","01:03:51"
" 19 ","a.cosson","ssl-tunnel","2025-05-05 22:09:44","17.13 GB","39 ","177:22:02"
" 20 ","a.dechaud","ssl-tunnel","2025-04-16 20:12:23","787.67 MB","4 ","27:57:23"
" 21 ","a.dinart","ssl-tunnel","2025-05-05 19:17:17","12.07 GB","26 ","129:48:51"
